,Territorio,NC_   -  0,NC_  0- 10,NC_ 10- 15,NC_ 15- 26,NC_ 26- 55,NC_ 55- 75,NC_ 75-120,NC_120-inf,Income_tot
5020,Piacenza,12.0,17340.0,8188.0,24923.0,19931.0,2448.0,1844.0,990.0,1923655866.0
5021,Piacenza d'Adige,0.0,291.0,167.0,360.0,131.0,5.0,6.0,0.0,15836841.0
5022,Piadena Drizzona,0.0,687.0,403.0,1134.0,602.0,47.0,37.0,14.0,62157892.0
5023,Piaggine,0.0,354.0,125.0,232.0,108.0,10.0,7.0,0.0,12800142.0
5024,Pian Camuno,0.0,921.0,424.0,1171.0,647.0,42.0,21.0,14.0,61877351.0
5025,Piana Crixia,0.0,157.0,69.0,194.0,128.0,4.0,0.0,0.0,10149804.0
5026,Piana degli Albanesi,0.0,1418.0,528.0,812.0,612.0,19.0,14.0,0.0,53359139.0
5027,Piana di Monte Verna,0.0,559.0,203.0,312.0,230.0,13.0,10.0,0.0,21014604.0
5028,Piancastagnaio,0.0,779.0,480.0,1233.0,548.0,29.0,26.0,12.0,59584923.0
5029,Piancogno,0.0,864.0,440.0,1207.0,628.0,61.0,37.0,20.0,65508408.0
5030,Piandimeleto,0.0,415.0,227.0,582.0,222.0,6.0,11.0,0.0,25254190.0
5031,Piane Crati,0.0,286.0,111.0,266.0,152.0,10.0,6.0,0.0,14232375.0
5032,Pianella,0.0,2118.0,1029.0,1614.0,856.0,56.0,36.0,16.0,93244349.0
5033,Pianello Val Tidone,0.0,462.0,224.0,584.0,333.0,32.0,27.0,17.0,35596767.0
5034,Pianello del Lario,0.0,264.0,107.0,253.0,130.0,11.0,12.0,0.0,13805289.0
5035,Pianengo,0.0,361.0,232.0,703.0,428.0,38.0,32.0,8.0,40385072.0
5036,Pianezza,0.0,2232.0,1166.0,3571.0,3276.0,324.0,220.0,85.0,269269114.0
5037,Pianezze,0.0,368.0,188.0,565.0,396.0,33.0,22.0,20.0,36920742.0
5038,Pianfei,0.0,355.0,223.0,571.0,340.0,31.0,16.0,5.0,31646948.0
5039,Pianico,0.0,269.0,138.0,361.0,196.0,9.0,10.0,8.0,19926542.0
5040,Pianiga,0.0,1917.0,1084.0,3207.0,2203.0,159.0,121.0,56.0,196230756.0
5041,Piano di Sorrento,0.0,2890.0,1093.0,1668.0,1644.0,251.0,165.0,68.0,161082039.0
5042,Pianopoli,0.0,652.0,237.0,358.0,237.0,12.0,4.0,4.0,23301787.0
5043,Pianoro,0.0,2501.0,1416.0,4366.0,3916.0,482.0,358.0,173.0,356051064.0
5044,Piansano,0.0,570.0,282.0,366.0,217.0,15.0,9.0,0.0,22765439.0
5045,Piantedo,0.0,262.0,134.0,339.0,219.0,23.0,10.0,0.0,19809777.0
5046,Piario,0.0,199.0,74.0,296.0,168.0,10.0,4.0,4.0,15053326.0
5047,Piasco,0.0,491.0,270.0,845.0,457.0,26.0,19.0,0.0,41755353.0
5048,Piateda,0.0,381.0,215.0,516.0,397.0,22.0,16.0,7.0,32174607.0
5049,Piatto,0.0,69.0,52.0,159.0,70.0,13.0,5.0,4.0,8476426.0
5050,Piazza Armerina,0.0,4803.0,1851.0,2692.0,2444.0,137.0,123.0,24.0,204672721.0
5051,Piazza Brembana,0.0,222.0,128.0,306.0,224.0,13.0,9.0,0.0,18145175.0
5052,Piazza al Serchio,0.0,505.0,192.0,507.0,362.0,17.0,10.0,0.0,29004295.0
5053,Piazzatorre,0.0,111.0,45.0,85.0,70.0,12.0,6.0,0.0,6464572.0
5054,Piazzola sul Brenta,0.0,1697.0,1067.0,3019.0,1777.0,182.0,111.0,57.0,177678891.0
5055,Piazzolo,0.0,25.0,11.0,20.0,12.0,0.0,0.0,0.0,1000417.0
5056,Picciano,0.0,342.0,193.0,245.0,96.0,9.0,0.0,0.0,12646821.0
5057,Picerno,0.0,1511.0,616.0,1035.0,548.0,33.0,18.0,5.0,58631836.0
5058,Picinisco,0.0,404.0,128.0,189.0,87.0,0.0,6.0,0.0,10101239.0
5059,Pico,0.0,546.0,236.0,619.0,330.0,14.0,4.0,4.0,30792263.0
5060,Piea,0.0,100.0,68.0,126.0,84.0,7.0,0.0,0.0,7302092.0
5061,Piedicavallo,0.0,37.0,25.0,41.0,30.0,0.0,0.0,0.0,2299622.0
5062,Piedimonte Etneo,0.0,977.0,425.0,553.0,304.0,15.0,17.0,6.0,34758160.0
5063,Piedimonte Matese,0.0,2356.0,942.0,1550.0,1283.0,85.0,80.0,25.0,113807586.0
5064,Piedimonte San Germano,0.0,1222.0,480.0,1290.0,700.0,30.0,28.0,10.0,67979126.0
5065,Piedimulera,0.0,290.0,147.0,385.0,192.0,8.0,4.0,0.0,18487903.0
5066,Piegaro,0.0,742.0,388.0,854.0,507.0,39.0,24.0,8.0,49101114.0
5067,Pienza,0.0,469.0,275.0,447.0,280.0,26.0,23.0,8.0,30330624.0
5068,Pieranica,0.0,166.0,104.0,312.0,189.0,13.0,4.0,0.0,16193663.0
5069,Pietra Ligure,0.0,1823.0,944.0,1986.0,1336.0,172.0,126.0,64.0,141580485.0
5070,Pietra Marazzi,0.0,132.0,73.0,211.0,181.0,22.0,25.0,11.0,18965119.0
