,Territorio,NC_   -  0,NC_  0- 10,NC_ 10- 15,NC_ 15- 26,NC_ 26- 55,NC_ 55- 75,NC_ 75-120,NC_120-inf,Income_tot
0,Abano Terme,0.0,3641.0,1997.0,4567.0,3268.0,413.0,400.0,177.0,347774542.0
1,Abbadia Cerreto,0.0,50.0,29.0,73.0,41.0,0.0,0.0,0.0,3399810.0
2,Abbadia Lariana,0.0,511.0,276.0,792.0,656.0,78.0,48.0,31.0,59153455.0
3,Abbadia San Salvatore,0.0,1303.0,783.0,1820.0,754.0,69.0,33.0,13.0,87615654.0
4,Abbasanta,0.0,577.0,194.0,443.0,430.0,26.0,13.0,0.0,30992769.0
5,Abbateggio,0.0,140.0,40.0,74.0,31.0,0.0,0.0,0.0,3517230.0
6,Abbiategrasso,5.0,4885.0,2610.0,7655.0,6245.0,674.0,436.0,198.0,552582690.0
7,Abetone Cutigliano,0.0,509.0,278.0,504.0,257.0,7.0,7.0,0.0,25274459.0
8,Abriola,0.0,406.0,189.0,251.0,73.0,0.0,0.0,0.0,11522386.0
9,Acate,0.0,3714.0,1506.0,984.0,415.0,19.0,18.0,5.0,73238945.0
10,Accadia,0.0,696.0,257.0,486.0,176.0,7.0,12.0,0.0,22940127.0
11,Acceglio,0.0,45.0,21.0,27.0,17.0,0.0,0.0,0.0,1604691.0
12,Accettura,0.0,594.0,277.0,252.0,66.0,4.0,6.0,0.0,13823125.0
13,Acciano,0.0,102.0,42.0,65.0,34.0,0.0,0.0,0.0,3331707.0
14,Accumoli,0.0,154.0,82.0,95.0,48.0,0.0,0.0,0.0,5320645.0
15,Acerenza,0.0,608.0,307.0,414.0,200.0,6.0,8.0,0.0,22151547.0
16,Acerno,0.0,1006.0,368.0,313.0,112.0,4.0,6.0,0.0,20381719.0
17,Acerra,0.0,10939.0,4116.0,8043.0,4974.0,228.0,180.0,43.0,470520269.0
18,Aci Bonaccorsi,0.0,747.0,244.0,447.0,370.0,53.0,30.0,22.0,38922304.0
19,Aci Castello,0.0,3514.0,1255.0,2517.0,2729.0,368.0,376.0,146.0,266540772.0
20,Aci Catena,0.0,5439.0,2267.0,3732.0,2407.0,179.0,167.0,34.0,241592694.0
21,Aci Sant'Antonio,0.0,3563.0,1414.0,2387.0,1756.0,122.0,108.0,34.0,164626350.0
22,Acireale,0.0,11039.0,4454.0,7063.0,5280.0,488.0,375.0,114.0,517037823.0
23,Acquafondata,0.0,84.0,30.0,45.0,20.0,0.0,0.0,0.0,2293216.0
24,Acquaformosa,0.0,280.0,148.0,167.0,53.0,0.0,0.0,0.0,8042283.0
25,Acquafredda,0.0,287.0,161.0,376.0,174.0,19.0,17.0,4.0,20530394.0
26,Acqualagna,0.0,909.0,544.0,1057.0,516.0,37.0,26.0,9.0,56335246.0
27,Acquanegra Cremonese,0.0,197.0,106.0,350.0,181.0,13.0,9.0,0.0,17119451.0
28,Acquanegra sul Chiese,0.0,494.0,350.0,775.0,380.0,32.0,10.0,7.0,39701417.0
29,Acquapendente,0.0,1299.0,689.0,1175.0,705.0,42.0,44.0,11.0,70544555.0
30,Acquappesa,0.0,522.0,165.0,234.0,158.0,8.0,0.0,0.0,14866517.0
31,Acquaro,0.0,738.0,293.0,262.0,107.0,4.0,0.0,0.0,16370889.0
32,Acquasanta Terme,0.0,777.0,321.0,699.0,258.0,21.0,9.0,0.0,31854042.0
33,Acquasparta,0.0,877.0,472.0,1056.0,616.0,38.0,18.0,9.0,57463224.0
34,Acquaviva Collecroce,0.0,205.0,89.0,97.0,43.0,0.0,0.0,0.0,5328253.0
35,Acquaviva Picena,0.0,869.0,455.0,801.0,427.0,28.0,23.0,9.0,45871171.0
36,Acquaviva Platani,0.0,419.0,102.0,107.0,49.0,4.0,0.0,0.0,6697823.0
37,Acquaviva d'Isernia,0.0,121.0,44.0,78.0,41.0,0.0,0.0,0.0,3942907.0
38,Acquaviva delle Fonti,0.0,4514.0,1876.0,3834.0,2776.0,161.0,149.0,38.0,243978352.0
39,Acquedolci,0.0,1383.0,625.0,782.0,466.0,28.0,30.0,0.0,50735567.0
40,Acqui Terme,0.0,3944.0,1940.0,4625.0,3080.0,247.0,257.0,106.0,302920585.0
41,Acri,0.0,6134.0,2087.0,3037.0,1676.0,92.0,69.0,4.0,185567362.0
42,Acuto,0.0,439.0,160.0,361.0,203.0,7.0,7.0,0.0,19010847.0
43,Adelfia,0.0,3938.0,1659.0,2708.0,1998.0,129.0,80.0,16.0,179193823.0
44,Adrano,0.0,8116.0,4063.0,3164.0,1397.0,80.0,74.0,21.0,211142055.0
45,Adrara San Martino,0.0,393.0,202.0,555.0,318.0,26.0,15.0,9.0,31375946.0
46,Adrara San Rocco,0.0,159.0,76.0,218.0,112.0,10.0,0.0,0.0,10489799.0
47,Adria,4.0,3693.0,1963.0,4952.0,3108.0,219.0,150.0,94.0,291656085.0
48,Adro,0.0,1330.0,644.0,1878.0,1124.0,103.0,82.0,35.0,110969605.0
49,Affi,0.0,490.0,274.0,568.0,392.0,33.0,21.0,13.0,37035974.0
50,Affile,0.0,294.0,122.0,295.0,178.0,5.0,0.0,0.0,15053315.0
51,Afragola,0.0,11739.0,4139.0,6986.0,3878.0,206.0,169.0,58.0,418004129.0
52,Africo,0.0,759.0,306.0,677.0,143.0,5.0,0.0,0.0,26629070.0
53,Agazzano,0.0,389.0,254.0,490.0,325.0,40.0,20.0,17.0,34880187.0
54,Agerola,0.0,2128.0,825.0,964.0,516.0,44.0,27.0,15.0,64700826.0
55,Aggius,0.0,404.0,169.0,269.0,142.0,8.0,12.0,0.0,15694379.0
56,Agira,0.0,2061.0,792.0,984.0,538.0,20.0,21.0,9.0,60601454.0
57,Agliana,0.0,3075.0,1991.0,4722.0,2454.0,185.0,96.0,33.0,245371525.0
58,Agliano Terme,0.0,391.0,194.0,375.0,192.0,15.0,13.0,12.0,22200084.0
59,Aglientu,0.0,352.0,175.0,230.0,108.0,7.0,9.0,4.0,14562227.0
60,Agliè,0.0,446.0,260.0,671.0,457.0,45.0,21.0,23.0,45144168.0
61,Agna,0.0,597.0,324.0,854.0,399.0,30.0,17.0,8.0,42049735.0
62,Agnadello,0.0,549.0,344.0,1019.0,660.0,50.0,26.0,10.0,57743252.0
63,Agnana Calabra,0.0,179.0,52.0,53.0,15.0,0.0,0.0,0.0,3158867.0
64,Agnone,0.0,1417.0,481.0,863.0,699.0,41.0,42.0,16.0,61640427.0
65,Agnosine,0.0,276.0,160.0,455.0,288.0,28.0,13.0,8.0,26550063.0
66,Agordo,0.0,582.0,370.0,1250.0,945.0,88.0,70.0,24.0,82288886.0
67,Agosta,0.0,315.0,152.0,369.0,272.0,10.0,6.0,4.0,21859872.0
68,Agra,0.0,100.0,31.0,50.0,33.0,0.0,0.0,0.0,3007108.0
69,Agrate Brianza,0.0,2217.0,1137.0,3631.0,3458.0,392.0,239.0,114.0,291362560.0
70,Agrate Conturbia,0.0,260.0,130.0,339.0,258.0,34.0,37.0,24.0,29662939.0
71,Agrigento,0.0,11779.0,4019.0,8093.0,7958.0,661.0,539.0,173.0,663243018.0
72,Agropoli,0.0,5336.0,1641.0,2742.0,2563.0,193.0,167.0,63.0,226433402.0
73,Agugliano,0.0,770.0,469.0,1190.0,843.0,58.0,44.0,11.0,72457382.0
74,Agugliaro,0.0,235.0,143.0,399.0,218.0,11.0,8.0,8.0,20989394.0
75,Aicurzio,0.0,353.0,132.0,488.0,456.0,41.0,31.0,14.0,39492221.0
76,Aidomaggiore,0.0,129.0,47.0,78.0,29.0,0.0,0.0,0.0,3710873.0
77,Aidone,0.0,1273.0,464.0,591.0,344.0,15.0,7.0,0.0,36037330.0
78,Aielli,0.0,391.0,156.0,280.0,173.0,8.0,9.0,0.0,16605893.0
79,Aiello Calabro,0.0,494.0,169.0,187.0,86.0,7.0,4.0,0.0,11367463.0
80,Aiello del Friuli,0.0,413.0,273.0,566.0,365.0,45.0,19.0,7.0,35577520.0
81,Aiello del Sabato,0.0,913.0,368.0,600.0,480.0,29.0,19.0,4.0,41063976.0
82,Aieta,0.0,246.0,71.0,64.0,22.0,0.0,0.0,0.0,4008179.0
83,Ailano,0.0,277.0,134.0,216.0,123.0,6.0,5.0,0.0,12313674.0
84,Ailoche,0.0,51.0,35.0,101.0,47.0,0.0,0.0,0.0,4272921.0
85,Airasca,0.0,548.0,316.0,952.0,641.0,45.0,20.0,7.0,53648188.0
86,Airola,0.0,1793.0,810.0,1281.0,954.0,52.0,57.0,12.0,87121186.0
87,Airole,0.0,59.0,38.0,59.0,43.0,0.0,0.0,0.0,3317488.0
88,Airuno,0.0,463.0,222.0,760.0,557.0,38.0,16.0,13.0,46256834.0
89,Aisone,0.0,33.0,27.0,68.0,44.0,0.0,0.0,0.0,3400480.0
90,Ala,0.0,1514.0,777.0,2333.0,1599.0,94.0,62.0,22.0,134564356.0
91,Ala di Stura,0.0,118.0,51.0,112.0,76.0,7.0,5.0,0.0,6703392.0
92,Alagna,0.0,139.0,68.0,220.0,131.0,10.0,7.0,0.0,11682591.0
93,Alagna Valsesia,0.0,160.0,87.0,157.0,120.0,13.0,7.0,16.0,16027293.0
94,Alanno,0.0,797.0,374.0,767.0,397.0,12.0,9.0,0.0,38731043.0
95,Alano di Piave,0.0,530.0,292.0,788.0,311.0,15.0,17.0,12.0,36409209.0
96,Alassio,4.0,2611.0,1253.0,1878.0,1452.0,222.0,211.0,107.0,179113373.0
97,Alatri,0.0,5461.0,2485.0,5522.0,3233.0,190.0,136.0,44.0,310449682.0
98,Alba,0.0,5108.0,2792.0,7877.0,6247.0,729.0,550.0,303.0,599772116.0
99,Alba Adriatica,0.0,3527.0,1374.0,2360.0,1281.0,106.0,70.0,32.0,143471741.0
100,Albagiara,0.0,80.0,24.0,61.0,18.0,0.0,0.0,0.0,2510674.0
101,Albairate,0.0,659.0,393.0,1160.0,963.0,103.0,56.0,22.0,80232887.0
102,Albanella,0.0,1785.0,860.0,964.0,438.0,28.0,19.0,7.0,57039144.0
103,Albano Laziale,4.0,7385.0,3338.0,7354.0,6282.0,621.0,452.0,140.0,561784527.0
104,Albano Sant'Alessandro,0.0,1304.0,643.0,2052.0,1472.0,126.0,76.0,33.0,128123384.0
105,Albano Vercellese,0.0,74.0,36.0,70.0,47.0,0.0,0.0,0.0,3801855.0
106,Albano di Lucania,0.0,299.0,169.0,284.0,168.0,0.0,0.0,0.0,14611977.0
107,Albaredo Arnaboldi,0.0,36.0,23.0,66.0,43.0,0.0,0.0,0.0,3296879.0
108,Albaredo d'Adige,0.0,1181.0,697.0,1390.0,726.0,44.0,23.0,9.0,73111266.0
109,Albaredo per San Marco,0.0,82.0,34.0,80.0,37.0,4.0,0.0,0.0,3785842.0
110,Albareto,0.0,561.0,248.0,533.0,336.0,23.0,13.0,5.0,31094849.0
111,Albaretto della Torre,0.0,51.0,25.0,54.0,39.0,4.0,0.0,0.0,3245641.0
112,Albavilla,0.0,1055.0,521.0,1628.0,1148.0,143.0,81.0,41.0,108601434.0
113,Albenga,4.0,5408.0,3042.0,4820.0,3102.0,296.0,186.0,90.0,320878601.0
114,Albera Ligure,0.0,68.0,48.0,75.0,42.0,0.0,0.0,0.0,3817192.0
115,Alberobello,0.0,2650.0,1303.0,2111.0,1139.0,80.0,68.0,17.0,123577319.0
116,Alberona,0.0,339.0,120.0,115.0,37.0,0.0,0.0,0.0,6361385.0
117,Albese con Cassano,0.0,692.0,320.0,1110.0,777.0,71.0,62.0,30.0,72509368.0
118,Albettone,0.0,378.0,205.0,589.0,253.0,19.0,13.0,4.0,28094905.0
119,Albi,0.0,276.0,72.0,149.0,52.0,0.0,0.0,0.0,6920029.0
120,Albiano,0.0,261.0,129.0,370.0,294.0,21.0,18.0,4.0,23652210.0
121,Albiano d'Ivrea,0.0,269.0,198.0,455.0,262.0,15.0,20.0,9.0,25969948.0
122,Albiate,0.0,972.0,435.0,1611.0,1322.0,140.0,98.0,47.0,116976430.0
123,Albidona,0.0,449.0,168.0,135.0,47.0,0.0,0.0,0.0,8307710.0
124,Albignasego,0.0,3958.0,2102.0,6120.0,5215.0,626.0,453.0,193.0,468676449.0
125,Albinea,0.0,1259.0,721.0,2028.0,1954.0,289.0,239.0,134.0,193261202.0
126,Albino,0.0,3007.0,1582.0,4788.0,2908.0,306.0,198.0,115.0,291326501.0
127,Albiolo,0.0,563.0,191.0,492.0,289.0,23.0,27.0,11.0,31257406.0
128,Albisola Superiore,0.0,1836.0,894.0,2309.0,1979.0,203.0,137.0,54.0,170713020.0
129,Albissola Marina,0.0,935.0,459.0,1081.0,1211.0,166.0,136.0,67.0,110832505.0
130,Albizzate,0.0,741.0,438.0,1305.0,982.0,115.0,69.0,22.0,87996152.0
131,Albonese,0.0,124.0,69.0,176.0,75.0,5.0,4.0,0.0,8146900.0
132,Albosaggia,0.0,472.0,287.0,876.0,632.0,46.0,24.0,12.0,51829035.0
133,Albugnano,0.0,121.0,57.0,108.0,74.0,5.0,8.0,0.0,7024854.0
134,Albuzzano,0.0,546.0,304.0,1026.0,647.0,32.0,22.0,7.0,54291058.0
135,Alcamo,4.0,12224.0,4503.0,6042.0,4426.0,264.0,203.0,44.0,424279231.0
136,Alcara li Fusi,0.0,535.0,401.0,328.0,87.0,9.0,0.0,0.0,17631734.0
137,Aldeno,0.0,598.0,300.0,818.0,631.0,45.0,29.0,13.0,52697963.0
138,Aldino/Aldein,0.0,364.0,186.0,355.0,343.0,20.0,11.0,11.0,28133409.0
139,Ales,0.0,351.0,135.0,229.0,159.0,4.0,7.0,0.0,14170124.0
140,Alessandria,7.0,15239.0,7666.0,21359.0,16946.0,1462.0,1121.0,449.0,1480400756.0
141,Alessandria del Carretto,0.0,125.0,91.0,67.0,13.0,0.0,0.0,0.0,3490502.0
142,Alessandria della Rocca,0.0,785.0,285.0,297.0,183.0,10.0,12.0,0.0,20886948.0
143,Alessano,0.0,1856.0,540.0,804.0,511.0,30.0,20.0,8.0,53508215.0
144,Alezio,0.0,1563.0,565.0,744.0,509.0,35.0,24.0,5.0,51825528.0
145,Alfano,0.0,282.0,88.0,117.0,46.0,6.0,0.0,0.0,6483529.0
146,Alfedena,0.0,266.0,88.0,144.0,129.0,11.0,5.0,0.0,10787420.0
147,Alfianello,0.0,397.0,233.0,684.0,334.0,36.0,17.0,13.0,36166681.0
148,Alfiano Natta,0.0,167.0,78.0,148.0,119.0,9.0,4.0,0.0,9591471.0
149,Alfonsine,0.0,1868.0,1337.0,3599.0,2042.0,130.0,80.0,30.0,188616122.0
150,Alghero,7.0,9951.0,4053.0,7626.0,6104.0,549.0,457.0,106.0,554532242.0
151,Algua,0.0,127.0,71.0,177.0,109.0,4.0,0.0,0.0,9000370.0
152,Alia,0.0,1058.0,421.0,400.0,183.0,6.0,12.0,0.0,25741190.0
153,Aliano,0.0,303.0,152.0,133.0,58.0,0.0,0.0,0.0,7846764.0
154,Alice Bel Colle,0.0,197.0,108.0,138.0,89.0,0.0,0.0,0.0,7869962.0
155,Alice Castello,0.0,477.0,256.0,683.0,349.0,27.0,12.0,8.0,35567379.0
156,Alife,0.0,1858.0,674.0,1106.0,636.0,37.0,24.0,4.0,65250231.0
157,Alimena,0.0,632.0,239.0,223.0,110.0,4.0,7.0,0.0,14544186.0
158,Aliminusa,0.0,368.0,143.0,174.0,53.0,0.0,0.0,0.0,8636091.0
159,Allai,0.0,89.0,41.0,93.0,28.0,0.0,0.0,0.0,3723700.0
160,Alleghe,0.0,251.0,145.0,310.0,202.0,9.0,16.0,7.0,19420340.0
161,Allein,0.0,37.0,32.0,57.0,51.0,0.0,0.0,0.0,3475310.0
162,Allerona,0.0,358.0,227.0,441.0,219.0,9.0,0.0,5.0,22040319.0
163,Alliste,0.0,2228.0,831.0,834.0,360.0,17.0,10.0,6.0,52155664.0
164,Allumiere,0.0,805.0,336.0,760.0,632.0,17.0,7.0,7.0,47910089.0
165,Alluvioni Piovera,0.0,281.0,173.0,406.0,264.0,16.0,7.0,4.0,28735085.0
166,Almenno San Bartolomeo,0.0,1034.0,510.0,1599.0,1199.0,103.0,77.0,38.0,106309442.0
167,Almenno San Salvatore,0.0,965.0,495.0,1512.0,1024.0,93.0,44.0,19.0,91133673.0
168,Almese,0.0,943.0,491.0,1453.0,1426.0,150.0,136.0,51.0,124511540.0
169,Almè,0.0,954.0,510.0,1473.0,975.0,75.0,48.0,30.0,88764240.0
170,Alonte,0.0,261.0,121.0,385.0,303.0,28.0,17.0,18.0,30929420.0
171,Alpago,0.0,1213.0,637.0,2027.0,1157.0,91.0,52.0,21.0,108553426.0
172,Alpette,0.0,53.0,19.0,63.0,55.0,4.0,0.0,0.0,3883201.0
173,Alpignano,0.0,2592.0,1416.0,4305.0,3241.0,260.0,167.0,65.0,274118465.0
174,Alseno,0.0,836.0,464.0,1261.0,846.0,71.0,56.0,28.0,80377726.0
175,Alserio,0.0,191.0,92.0,329.0,247.0,29.0,16.0,7.0,21722219.0
176,Alta Val Tidone,0.0,668.0,398.0,737.0,464.0,38.0,41.0,18.0,50133975.0
177,Alta Valle Intelvi,0.0,757.0,247.0,556.0,309.0,34.0,15.0,15.0,34238005.0
178,Altamura,8.0,16250.0,6288.0,12371.0,5922.0,457.0,353.0,133.0,682866681.0
179,Altare,0.0,362.0,182.0,548.0,339.0,23.0,9.0,0.0,28881680.0
180,Altavalle,0.0,327.0,171.0,474.0,239.0,16.0,10.0,0.0,22934180.0
181,Altavilla Irpina,0.0,1018.0,347.0,611.0,349.0,18.0,24.0,0.0,35492271.0
182,Altavilla Milicia,0.0,1772.0,659.0,1107.0,1015.0,72.0,63.0,18.0,86618262.0
183,Altavilla Monferrato,0.0,70.0,48.0,97.0,61.0,7.0,6.0,0.0,5952756.0
184,Altavilla Silentina,0.0,1869.0,952.0,1019.0,516.0,31.0,22.0,4.0,63056811.0
185,Altavilla Vicentina,0.0,1723.0,892.0,3194.0,2492.0,221.0,117.0,65.0,208957761.0
186,Altidona,0.0,735.0,411.0,780.0,431.0,33.0,27.0,10.0,45517498.0
187,Altilia,0.0,186.0,67.0,103.0,43.0,0.0,0.0,0.0,5038401.0
188,Altino,0.0,665.0,338.0,713.0,292.0,17.0,10.0,4.0,33951804.0
189,Altissimo,0.0,376.0,207.0,611.0,334.0,19.0,11.0,4.0,31153933.0
190,Altivole,0.0,1360.0,698.0,1813.0,1018.0,84.0,52.0,33.0,104306666.0
191,Alto,0.0,40.0,16.0,24.0,15.0,0.0,0.0,0.0,1398836.0
192,Alto Reno Terme,0.0,1063.0,649.0,1918.0,1236.0,93.0,77.0,22.0,112449502.0
193,Alto Sermenza,0.0,39.0,23.0,45.0,19.0,4.0,0.0,0.0,2333577.0
194,Altofonte,0.0,2092.0,751.0,1394.0,1016.0,54.0,40.0,12.0,90501492.0
195,Altomonte,0.0,1294.0,630.0,520.0,226.0,14.0,7.0,0.0,33407377.0
196,Altopascio,0.0,3029.0,1518.0,3568.0,1967.0,131.0,69.0,38.0,193612839.0
197,Altopiano della Vigolana,0.0,811.0,447.0,1194.0,1212.0,94.0,77.0,22.0,92395584.0
198,Alviano,0.0,328.0,161.0,278.0,211.0,10.0,0.0,0.0,16966498.0
199,Alvignano,0.0,1282.0,446.0,659.0,388.0,22.0,16.0,0.0,40460949.0
200,Alvito,0.0,697.0,265.0,486.0,265.0,18.0,10.0,0.0,27204412.0
201,Alzano Lombardo,0.0,2219.0,1170.0,3405.0,2390.0,246.0,176.0,99.0,228616555.0
202,Alzano Scrivia,0.0,75.0,40.0,94.0,48.0,6.0,0.0,0.0,4760015.0
203,Alzate Brianza,0.0,737.0,393.0,1282.0,901.0,79.0,58.0,27.0,81638910.0
204,Alà dei Sardi,0.0,506.0,172.0,256.0,94.0,5.0,0.0,0.0,12681386.0
205,Alì,0.0,165.0,86.0,128.0,43.0,0.0,0.0,0.0,5844085.0
206,Alì Terme,0.0,535.0,241.0,397.0,307.0,16.0,14.0,0.0,26250277.0
207,Amalfi,0.0,1395.0,552.0,740.0,503.0,45.0,40.0,21.0,55757045.0
208,Amandola,0.0,687.0,436.0,879.0,430.0,30.0,17.0,5.0,45573426.0
209,Amantea,0.0,3863.0,1207.0,1809.0,1410.0,82.0,57.0,12.0,129015578.0
210,Amaro,0.0,146.0,92.0,258.0,157.0,8.0,5.0,0.0,13218891.0
211,Amaroni,0.0,562.0,135.0,166.0,90.0,9.0,0.0,0.0,10957472.0
212,Amaseno,0.0,1045.0,479.0,697.0,391.0,14.0,9.0,6.0,40902112.0
213,Amato,0.0,232.0,80.0,124.0,42.0,5.0,0.0,0.0,6231210.0
214,Amatrice,0.0,668.0,276.0,404.0,279.0,16.0,14.0,0.0,26654968.0
215,Ambivere,0.0,337.0,193.0,659.0,463.0,40.0,20.0,14.0,40354805.0
216,Amblar-Don,0.0,101.0,52.0,130.0,108.0,12.0,9.0,11.0,11126018.0
217,Ameglia,0.0,930.0,430.0,945.0,729.0,78.0,75.0,22.0,70451678.0
218,Amelia,0.0,2374.0,1195.0,2586.0,1745.0,114.0,99.0,38.0,160020800.0
219,Amendolara,0.0,847.0,344.0,337.0,247.0,12.0,13.0,0.0,25067289.0
220,Ameno,0.0,186.0,96.0,236.0,128.0,12.0,13.0,12.0,17268544.0
221,Amorosi,0.0,707.0,241.0,372.0,363.0,16.0,19.0,4.0,31012788.0
222,Ampezzo,0.0,222.0,104.0,287.0,120.0,14.0,7.0,0.0,13583288.0
223,Anacapri,0.0,1832.0,774.0,1060.0,670.0,87.0,68.0,35.0,82138966.0
224,Anagni,0.0,4221.0,1860.0,4344.0,2849.0,185.0,131.0,43.0,258385591.0
225,Ancarano,0.0,499.0,253.0,421.0,159.0,10.0,7.0,9.0,23462145.0
226,Ancona,13.0,17976.0,8875.0,22073.0,18708.0,2125.0,1727.0,740.0,1727143233.0
227,Andali,0.0,254.0,119.0,94.0,31.0,0.0,0.0,0.0,5582121.0
228,Andalo,0.0,349.0,224.0,266.0,223.0,21.0,24.0,7.0,22523655.0
229,Andalo Valtellino,0.0,84.0,51.0,154.0,89.0,9.0,0.0,0.0,7712425.0
230,Andezeno,0.0,312.0,206.0,495.0,364.0,31.0,17.0,9.0,31423159.0
231,Andora,0.0,1872.0,874.0,1437.0,1000.0,101.0,64.0,20.0,99303865.0
232,Andorno Micca,0.0,510.0,341.0,951.0,440.0,38.0,25.0,15.0,48242879.0
233,Andrano,0.0,1229.0,436.0,876.0,558.0,25.0,16.0,4.0,51094480.0
234,Andrate,0.0,85.0,36.0,125.0,76.0,8.0,4.0,0.0,6602220.0
235,Andreis,0.0,66.0,32.0,77.0,38.0,0.0,0.0,0.0,3470419.0
236,Andretta,0.0,606.0,231.0,220.0,137.0,6.0,8.0,0.0,15527532.0
237,Andria,6.0,25578.0,9967.0,14976.0,6072.0,563.0,392.0,110.0,823457093.0
238,Andriano/Andrian,0.0,259.0,79.0,185.0,245.0,31.0,25.0,9.0,20507796.0
239,Anela,0.0,146.0,69.0,162.0,64.0,0.0,0.0,0.0,6973051.0
240,Anfo,0.0,74.0,48.0,129.0,63.0,0.0,0.0,0.0,5778600.0
241,Angera,0.0,991.0,446.0,1296.0,924.0,111.0,96.0,41.0,92636140.0
242,Anghiari,0.0,1074.0,751.0,1475.0,727.0,54.0,37.0,17.0,78727082.0
243,Angiari,0.0,361.0,238.0,670.0,432.0,45.0,23.0,12.0,40146962.0
244,Angolo Terme,0.0,417.0,250.0,679.0,349.0,10.0,9.0,0.0,31809748.0
245,Angri,0.0,7791.0,2954.0,4727.0,3276.0,187.0,148.0,62.0,316955065.0
246,Angrogna,0.0,199.0,74.0,180.0,103.0,9.0,8.0,0.0,10083852.0
247,Anguillara Sabazia,0.0,3876.0,1524.0,2911.0,2996.0,236.0,201.0,41.0,242393242.0
248,Anguillara Veneta,0.0,769.0,446.0,1225.0,489.0,16.0,9.0,9.0,53889698.0
249,Annicco,0.0,325.0,213.0,568.0,323.0,26.0,11.0,7.0,30459600.0
250,Annone Veneto,0.0,725.0,381.0,1060.0,440.0,44.0,18.0,14.0,51231168.0
251,Annone di Brianza,0.0,370.0,171.0,569.0,460.0,54.0,28.0,9.0,38832855.0
252,Anoia,0.0,682.0,207.0,259.0,106.0,7.0,6.0,0.0,15706285.0
253,Antegnate,0.0,576.0,301.0,821.0,372.0,30.0,22.0,5.0,40917412.0
254,Anterivo/Altrei,0.0,67.0,33.0,116.0,84.0,4.0,0.0,0.0,6192692.0
255,Antey-Saint-André,0.0,128.0,78.0,95.0,110.0,0.0,5.0,0.0,7804709.0
256,Anticoli Corrado,0.0,153.0,64.0,157.0,127.0,4.0,0.0,0.0,9202850.0
257,Antignano,0.0,174.0,99.0,239.0,194.0,15.0,11.0,4.0,16115001.0
258,Antillo,0.0,235.0,130.0,184.0,42.0,0.0,0.0,0.0,7651996.0
259,Antonimina,0.0,438.0,139.0,220.0,71.0,0.0,0.0,0.0,10802093.0
260,Antrodoco,0.0,456.0,282.0,532.0,402.0,23.0,11.0,4.0,33391751.0
261,Antrona Schieranco,0.0,81.0,47.0,119.0,88.0,0.0,0.0,0.0,6293632.0
262,Anversa degli Abruzzi,0.0,88.0,47.0,69.0,39.0,0.0,0.0,0.0,3663094.0
263,Anzano del Parco,0.0,293.0,139.0,458.0,348.0,37.0,27.0,10.0,31016120.0
264,Anzano di Puglia,0.0,452.0,148.0,210.0,52.0,0.0,0.0,0.0,9437286.0
265,Anzi,0.0,446.0,216.0,276.0,90.0,4.0,0.0,0.0,13329930.0
266,Anzio,5.0,12012.0,4649.0,9149.0,8640.0,823.0,581.0,189.0,743317308.0
267,Anzola d'Ossola,0.0,62.0,38.0,118.0,73.0,6.0,0.0,0.0,6094725.0
268,Anzola dell'Emilia,0.0,1592.0,1052.0,3300.0,2746.0,244.0,154.0,67.0,224801937.0
269,Aosta,6.0,6036.0,3154.0,7775.0,6913.0,635.0,637.0,223.0,603630507.0
270,Apecchio,0.0,446.0,256.0,453.0,176.0,10.0,7.0,0.0,21530516.0
271,Apice,0.0,1582.0,597.0,707.0,461.0,23.0,19.0,8.0,49071201.0
272,Apiro,0.0,464.0,274.0,578.0,239.0,16.0,11.0,8.0,28593191.0
273,Apollosa,0.0,681.0,260.0,354.0,289.0,14.0,18.0,0.0,25912494.0
274,Appiano Gentile,0.0,1290.0,591.0,1878.0,1396.0,179.0,137.0,76.0,153797796.0
275,Appiano sulla strada del vino/Eppan an der Weinstraße,0.0,2802.0,1291.0,2948.0,3334.0,485.0,350.0,267.0,328170766.0
276,Appignano,0.0,733.0,541.0,1209.0,426.0,39.0,24.0,20.0,57445891.0
277,Appignano del Tronto,0.0,394.0,219.0,450.0,171.0,8.0,10.0,0.0,20593318.0
278,Aprica,0.0,353.0,183.0,326.0,241.0,33.0,22.0,8.0,24296634.0
279,Apricale,0.0,171.0,65.0,84.0,42.0,0.0,0.0,0.0,4662464.0
280,Apricena,0.0,3271.0,1168.0,1760.0,1005.0,83.0,39.0,19.0,110146243.0
281,Aprigliano,0.0,682.0,186.0,338.0,218.0,4.0,7.0,0.0,20381874.0
282,Aprilia,0.0,15242.0,7051.0,13765.0,9612.0,583.0,331.0,104.0,853428555.0
283,Aquara,0.0,460.0,183.0,207.0,80.0,4.0,4.0,0.0,11933205.0
284,Aquila d'Arroscia,0.0,44.0,17.0,48.0,13.0,0.0,0.0,0.0,1777576.0
285,Aquileia,0.0,597.0,379.0,860.0,550.0,37.0,31.0,12.0,51022311.0
286,Aquilonia,0.0,464.0,176.0,297.0,114.0,10.0,0.0,0.0,14556886.0
287,Aquino,0.0,946.0,397.0,1022.0,666.0,22.0,19.0,5.0,56419977.0
288,Aradeo,0.0,2592.0,1007.0,1172.0,568.0,26.0,32.0,5.0,72866508.0
289,Aragona,0.0,2298.0,779.0,1517.0,912.0,56.0,29.0,9.0,87583472.0
